Date Start,Date End ,Name,Grade,Link,Grid Reference,Easting,Northing
11/04/2015,,Beginner Rescue Training (Clatto Country Park),Training Day,http://tskclub.ning.com/page/20-21-september-cakes,NO3677934576,336779,734576
02/05/2015,04/05/2015,Oban Weekend,A,http://tskclub.ning.com/page/6-7-september-knoydart-inverie,NM8552432422,185524,732422
16/05/2015,17/05/2015,Loch Etive Wild Camp,A,http://tskclub.ning.com/page/date-tbc-garvellachs,,206470,737537
17/05/2015,,Jewel of the Forth,B,http://tskclub.ning.com/page/20-25-august-north-coast-sutherland,,365500,699500
26/09/2015,27/09/2015,Crowlin Islands,A/B,http://tskclub.ning.com/page/25-26-27-july-summer-isles,,168992,834688
06/06/2015,08/06/2015,Loch Sunart & Moidart,A,http://tskclub.ning.com/page/19-20-july-soay-coruisk-skye,,167490,761245
12/06/2015,14/06/2015,Homage to Sorley 2 - Raasay & Rona,B,http://tskclub.ning.com/page/5-6-july-crowlin-islands,,158961,842662
13/06/2015,15/06/2015,Eigg & Rum (50m),C,http://tskclub.ning.com/page/21-22-23-june-homage-to-sorley,,142211,791586
20/06/2015,21/06/2015,Camp with a View & Sound of Arisaig,A/B,http://tskclub.ning.com/page/7-8-june-northumberland-coast,,165069,780376
27/06/2015,28/06/2015,Lismore Island,A,http://tskclub.ning.com/page/30-may-2-june-loch-resipol-moidart,,184009,742300
,,Tayvallich,A,http://tskclub.ning.com/page/24-25-26-may-loch-sween,,175274,686306
18/07/2015,19/07/2015,Moray Coast,A/B,http://tskclub.ning.com/page/tbc-may-june-montrose-to-arbroath,,813917,871468
25/07/2015,26/07/2015,Summer Isles,A/B,http://tskclub.ning.com/page/5-6-may-firth-of-lorn-kerrera,,197304,905999
,,Bass Rock & The Leithies,B,http://tskclub.ning.com/page/12-13-april-beginner-rescue-training-clatto-country-park,,360253,687468
08/08/2015,,Perth to Broughty Ferry,B/C,http://tskclub.ning.com/page/atlantic-breakers-surf-kayak-event-24-25,,320274,718843
29/08/2015,30/08/2015,Arisaig,A,http://tskclub.ning.com/page/7-8-september-surf-local-beaches,,165069,780376
05/09/2015,07/09/2015,Morvern CircumNav,C,http://tskclub.ning.com/page/24-25-august-moray-coast,,168009,753847
,,Garvellachs,C,http://tskclub.ning.com/page/27-28-july-four-day-trip-to-skye,,165982,710880
13/09/2015,,Stonehaven,B,http://tskclub.ning.com/page/29-30-june-montrose-basin-to-lunan-to-arbroath,,388470,786263
19/09/2015,20/09/2015,Luing & Seil Island,B,http://tskclub.ning.com/page/27-28-april-local-surf-trips-at-angus-beaches-or-st-andrews,,174742,714992
